id,img,label,text,split,text_idx,pseudo_text_idx,pseudo_img_idx,gold_pc,gold_attack,pc,attack,disability_gold_pc,nationality_gold_pc,pc_empty_gold_pc,race_gold_pc,religion_gold_pc,sex_gold_pc,attack_empty_gold_attack,contempt_gold_attack,dehumanizing_gold_attack,exclusion_gold_attack,inciting_violence_gold_attack,inferiority_gold_attack,mocking_gold_attack,slurs_gold_attack,disability_pc,nationality_pc,pc_empty_pc,race_pc,religion_pc,sex_pc,attack_empty_attack,contempt_attack,dehumanizing_attack,exclusion_attack,inciting_violence_attack,inferiority_attack,mocking_attack,slurs_attack
2973,img/02973.png,0.0,how long can i run? till the chain tightens,train,8,2,3364,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2146,img/02146.png,0.0,from the bottom of my heart i would like to sincerely apologize..... for being white,train,20,3056,2958,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1569,img/01569.png,0.0,when you can't decide to pre heat the oven or just throw the meal in right away,train,38,11,3825,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6418,img/06418.png,0.0,1 bomb every minute,train,40,12,4914,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4876,img/04876.png,0.0,goin,train,45,5592,21,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2497,img/02497.png,0.0,you're a wizard motherfucker,train,59,3010,2909,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2476,img/02476.png,0.0,im never doing a garden again!,train,75,7275,27,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6937,img/06937.png,0.0,"coming soon to your neighborhood 300,000 islamic heathens demanding the usa change to suit thier sick religion",train,76,4964,4916,['religion'],['dehumanizing'],['religion'],"['dehumanizing', 'contempt']",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
5762,img/05762.png,0.0,"listen bitch, before you start fucking with me you should know my team is bigger",train,77,6092,6026,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5384,img/05384.png,0.0,spending quality time with dad,train,100,32,2219,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1845,img/01845.png,0.0,when you consume too much trans fat,train,101,33,4549,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
