435,6,565,6,565,37,435,37
68,7,196,7,196,37,68,37
435,40,587,40,587,71,435,71
67,42,137,42,137,71,67,71
172,42,217,42,217,70,172,70
433,70,586,70,586,106,433,106
66,75,166,75,166,107,66,107
435,180,566,180,566,213,435,213
67,187,197,187,197,220,67,220
435,216,587,216,587,246,435,246
67,222,221,222,221,253,67,253
433,247,570,247,570,281,433,281
567,248,585,248,585,275,567,275
67,255,125,255,125,285,67,285
57,306,539,314,538,361,57,353
201,356,296,356,296,377,201,377
435,373,565,373,565,401,435,401
70,378,171,378,171,402,70,402
434,404,566,404,566,436,434,436
138,406,196,406,196,435,138,435
68,407,107,407,107,436,68,436
434,438,587,438,587,469,434,469
67,441,138,441,138,471,67,471
171,442,216,442,216,467,171,467
433,467,586,467,586,505,433,505
66,475,166,475,166,507,66,507
434,579,566,578,566,611,435,612
68,586,197,586,197,620,68,620
436,615,587,615,587,645,436,645
67,621,221,621,221,652,67,652
434,646,584,644,585,678,435,679
67,653,133,653,133,683,67,683
107,712,503,710,503,766,107,768
442,773,565,773,565,798,442,798
